id;beekeeper_complete_name;beekeeper_number;entity_zone_residence;nif;address;postal_code;phone_number;fax_number
1;Inteligente;15008;86170;60356;Ohio Pequeno;Engineer Directives Glen;47084;45301
2;Franc withdrawal copy;48268;29278;44202;Ergonómico Data;auxiliary Associate Impressionante;21901;59761
3;relationships Granito program;12601;4890;55253;digital;Camboja;19565;32318
4;Fantástico Ohio Fiji;43242;22418;96114;Computadores Reunião;Refinado Borracha Teclado;17271;32359
5;Global deposit Illinois;43024;13598;61752;Roupas;Nevada Borders laranja;61847;50705
6;Views;29433;97035;67292;parallelism;Ferramentas cross-media maximize;28321;84635
7;connecting;10987;37715;35932;open-source;service-desk Account;49623;51934
8;software prata;81486;85367;49272;Ferramentas Savings bluetooth;Strategist;58771;15599
9;paradigms Oregon Impressionante;21919;1898;94216;Crianças;Buckinghamshire Future-proofed reboot;33654;1396
10;Luvas Plástico hacking;79050;98105;13776;reboot deliver port;Pizza Swiss BCEAO;17596;43261
