id;beekeeper_complete_name;beekeeper_number;entity_zone_residence;nif;address;postal_code;phone_number;fax_number;state
1;Inteligente;15008;86170;60356;Ohio Pequeno;Engineer Directives Glen;47084;45301;ANNULLED
2;Licenciado open-source architecture;29278;44202;53332;Congelado;Data;98846;80326;REGISTERED
3;Associate;10284;57342;24102;Loan;Cross-group optimal;79862;12601;REGISTERED
4;Licenciado Teclado;16861;49363;19565;backing;up Pula encoding;22418;96114;ANNULLED
5;Synergistic;77777;58097;80794;compressing;Washington Teclado;17271;32359;ANNULLED
6;Borders Jardim Programmable;13598;61752;10336;Shilling;Israel Bolívia;27137;35450;ANNULLED
7;hierarchy Luvas;67292;32786;31202;holistic empower feed;Linda Refinado;37715;35932;REGISTERED
8;deposit service-desk;61675;4314;83002;Granada navigating;Stravenue Cambridgeshire transform;16753;21820;ANNULLED
9;demand-driven Administrator;15599;94215;43027;interfaces;Impressionante vermelho;26141;2142;ANNULLED
10;Operations enhance Portugal;78272;33654;1396;Luvas Plástico hacking;Liaison reboot deliver;71922;27216;REGISTERED
